stage,engine,query,filter,sel,threads,warm_s
g-1m-q,D-WIDE,Q1,F1,S0,1,0.004903
g-1m-q,D-WIDE,Q1,F1,S0,4,0.005892
g-1m-q,D-WIDE,Q1,F1,S1,1,0.007761
g-1m-q,D-WIDE,Q1,F1,S1,4,0.008299
g-1m-q,D-WIDE,Q1,F2,S0,1,0.006107
g-1m-q,D-WIDE,Q1,F2,S0,4,0.005932
g-1m-q,D-WIDE,Q1,F2,S1,1,0.005492
g-1m-q,D-WIDE,Q1,F2,S1,4,0.006014
g-1m-q,D-WIDE,Q1,F3,S0,1,0.007015
g-1m-q,D-WIDE,Q1,F3,S0,4,0.006443
g-1m-q,D-WIDE,Q1,F3,S1,1,0.008091
g-1m-q,D-WIDE,Q1,F3,S1,4,0.008475
g-1m-q,D-WIDE,Q1,F4,S0,1,0.005733
g-1m-q,D-WIDE,Q1,F4,S0,4,0.005852
g-1m-q,D-WIDE,Q1,F4,S1,1,0.010218
g-1m-q,D-WIDE,Q1,F4,S1,4,0.012011
g-1m-q,D-WIDE,Q1,F5,S0,1,0.011344
g-1m-q,D-WIDE,Q1,F5,S0,4,0.011733
g-1m-q,D-WIDE,Q1,F5,S1,1,0.012643
g-1m-q,D-WIDE,Q1,F5,S1,4,0.012502
g-1m-q,D-WIDE,Q2,F1,S0,1,0.005554
g-1m-q,D-WIDE,Q2,F1,S0,4,0.006717
g-1m-q,D-WIDE,Q2,F1,S1,1,0.009329
g-1m-q,D-WIDE,Q2,F1,S1,4,0.009280
g-1m-q,D-WIDE,Q2,F2,S0,1,0.010275
g-1m-q,D-WIDE,Q2,F2,S0,4,0.009289
g-1m-q,D-WIDE,Q2,F2,S1,1,0.006903
g-1m-q,D-WIDE,Q2,F2,S1,4,0.005729
g-1m-q,D-WIDE,Q2,F3,S0,1,0.007372
g-1m-q,D-WIDE,Q2,F3,S0,4,0.007040
g-1m-q,D-WIDE,Q2,F3,S1,1,0.008900
g-1m-q,D-WIDE,Q2,F3,S1,4,0.010117
g-1m-q,D-WIDE,Q2,F4,S0,1,0.005596
g-1m-q,D-WIDE,Q2,F4,S0,4,0.005716
g-1m-q,D-WIDE,Q2,F4,S1,1,0.010389
g-1m-q,D-WIDE,Q2,F4,S1,4,0.011006
g-1m-q,D-WIDE,Q2,F5,S0,1,0.011606
g-1m-q,D-WIDE,Q2,F5,S0,4,0.012552
g-1m-q,D-WIDE,Q2,F5,S1,1,0.013464
g-1m-q,D-WIDE,Q2,F5,S1,4,0.012908
g-1m-q,D-WIDE,Q3,F1,S0,1,0.008674
g-1m-q,D-WIDE,Q3,F1,S0,4,0.009997
g-1m-q,D-WIDE,Q3,F1,S1,1,0.008395
g-1m-q,D-WIDE,Q3,F1,S1,4,0.009179
g-1m-q,D-WIDE,Q3,F2,S0,1,0.009106
g-1m-q,D-WIDE,Q3,F2,S0,4,0.009135
g-1m-q,D-WIDE,Q3,F2,S1,1,0.009086
