engine,query,filter,sel,threads,cold_s,warm_s
D-WIDE,Q1,F1,S0,1,0.024348,0.004903
D-WIDE,Q1,F1,S0,4,0.023024,0.005892
D-WIDE,Q1,F1,S1,1,0.029551,0.007761
D-WIDE,Q1,F1,S1,4,0.034357,0.008299
D-WIDE,Q1,F2,S0,1,0.024556,0.006107
D-WIDE,Q1,F2,S0,4,0.025417,0.005932
D-WIDE,Q1,F2,S1,1,0.023736,0.005492
D-WIDE,Q1,F2,S1,4,0.024117,0.006014
D-WIDE,Q1,F3,S0,1,0.026178,0.007015
D-WIDE,Q1,F3,S0,4,0.024100,0.006443
D-WIDE,Q1,F3,S1,1,0.026256,0.008091
D-WIDE,Q1,F3,S1,4,0.030741,0.008475
D-WIDE,Q1,F4,S0,1,0.026992,0.005733
D-WIDE,Q1,F4,S0,4,0.024251,0.005852
D-WIDE,Q1,F4,S1,1,0.036289,0.010218
D-WIDE,Q1,F4,S1,4,0.030958,0.012011
D-WIDE,Q1,F5,S0,1,0.028638,0.011344
D-WIDE,Q1,F5,S0,4,0.030836,0.011733
D-WIDE,Q1,F5,S1,1,0.033355,0.012643
D-WIDE,Q1,F5,S1,4,0.031442,0.012502
D-WIDE,Q2,F1,S0,1,0.023258,0.005554
D-WIDE,Q2,F1,S0,4,0.023727,0.006717
D-WIDE,Q2,F1,S1,1,0.027289,0.009329
D-WIDE,Q2,F1,S1,4,0.026579,0.009280
D-WIDE,Q2,F2,S0,1,0.027687,0.010275
D-WIDE,Q2,F2,S0,4,0.030062,0.009289
D-WIDE,Q2,F2,S1,1,0.031074,0.006903
D-WIDE,Q2,F2,S1,4,0.024503,0.005729
D-WIDE,Q2,F3,S0,1,0.027850,0.007372
D-WIDE,Q2,F3,S0,4,0.025459,0.007040
D-WIDE,Q2,F3,S1,1,0.027464,0.008900
D-WIDE,Q2,F3,S1,4,0.032302,0.010117
D-WIDE,Q2,F4,S0,1,0.025656,0.005596
D-WIDE,Q2,F4,S0,4,0.024281,0.005716
D-WIDE,Q2,F4,S1,1,0.032950,0.010389
D-WIDE,Q2,F4,S1,4,0.029717,0.011006
D-WIDE,Q2,F5,S0,1,0.034195,0.011606
D-WIDE,Q2,F5,S0,4,0.030243,0.012552
