engine,query,filter,sel,threads,cold_s,warm_s
D-WIDE,Q2,F1,S0,1,0.026417,0.008965
D-WIDE,Q2,F1,S0,4,0.023864,0.006075
D-WIDE,Q2,F2,S0,1,0.026327,0.006730
D-WIDE,Q2,F2,S0,4,0.025440,0.006533
D-JOIN,Q2,F1,S0,1,0.199200,0.130123
D-JOIN,Q2,F1,S0,4,0.092606,0.055119
D-JOIN,Q2,F2,S0,1,0.072072,0.046830
D-JOIN,Q2,F2,S0,4,0.056329,0.031328
A-ALIGNED,Q2,F1,S0,1,0.035125,0.015259
A-ALIGNED,Q2,F1,S0,4,0.029728,0.010537
A-ALIGNED,Q2,F2,S0,1,0.026611,0.009173
A-ALIGNED,Q2,F2,S0,4,0.025866,0.008239
A-NORMAL,Q2,F1,S0,1,0.037145,0.015753
A-NORMAL,Q2,F1,S0,4,0.029900,0.011530
A-NORMAL,Q2,F2,S0,1,0.028515,0.010862
A-NORMAL,Q2,F2,S0,4,0.027618,0.008441
P-CONCAT,Q2,F1,S0,1,0.3275,0.1817
P-CONCAT,Q2,F1,S0,4,0.1169,0.0711
P-CONCAT,Q2,F2,S0,1,0.3325,0.1971
P-CONCAT,Q2,F2,S0,4,0.1069,0.0608
P-JOIN,Q2,F1,S0,1,1.4395,0.9174
P-JOIN,Q2,F1,S0,4,0.4177,0.2980
P-JOIN,Q2,F2,S0,1,1.2427,0.9263
P-JOIN,Q2,F2,S0,4,0.4212,0.3017
