engine,query,filter,sel,threads,cold_s,warm_s
D-WIDE,Q2,F1,S0,1,0.022075,0.005570
D-WIDE,Q2,F1,S0,4,0.030161,0.005450
D-WIDE,Q2,F2,S0,1,0.023384,0.005827
D-WIDE,Q2,F2,S0,4,0.023927,0.005917
D-WIDE,Q5,F1,S0,1,0.021302,0.005907
D-WIDE,Q5,F1,S0,4,0.026386,0.005735
D-WIDE,Q5,F2,S0,1,0.023677,0.007146
D-WIDE,Q5,F2,S0,4,0.024062,0.006559
D-JOIN,Q2,F1,S0,1,0.070143,0.037912
D-JOIN,Q2,F1,S0,4,0.043106,0.024758
D-JOIN,Q2,F2,S0,1,0.059082,0.025459
D-JOIN,Q2,F2,S0,4,0.043934,0.021946
D-JOIN,Q5,F1,S0,1,0.064063,0.038424
D-JOIN,Q5,F1,S0,4,0.044508,0.022921
D-JOIN,Q5,F2,S0,1,0.046311,0.024707
D-JOIN,Q5,F2,S0,4,0.042859,0.020727
A-ALIGNED,Q2,F1,S0,1,0.025971,0.008510
A-ALIGNED,Q2,F1,S0,4,0.025497,0.007921
A-ALIGNED,Q2,F2,S0,1,0.023910,0.007000
A-ALIGNED,Q2,F2,S0,4,0.026092,0.008006
A-ALIGNED,Q5,F1,S0,1,0.027419,0.008572
A-ALIGNED,Q5,F1,S0,4,0.026140,0.009921
A-ALIGNED,Q5,F2,S0,1,0.024649,0.008424
A-ALIGNED,Q5,F2,S0,4,0.025473,0.007667
A-NORMAL,Q2,F1,S0,1,0.025241,0.008928
A-NORMAL,Q2,F1,S0,4,0.025625,0.007959
A-NORMAL,Q2,F2,S0,1,0.023974,0.007085
A-NORMAL,Q2,F2,S0,4,0.025755,0.007459
A-NORMAL,Q5,F1,S0,1,0.027950,0.009747
A-NORMAL,Q5,F1,S0,4,0.025953,0.009068
A-NORMAL,Q5,F2,S0,1,0.025370,0.007773
A-NORMAL,Q5,F2,S0,4,0.025840,0.009554
P-CONCAT,Q2,F1,S0,1,0.0885,0.0514
P-CONCAT,Q2,F1,S0,4,0.0635,0.0361
P-CONCAT,Q2,F2,S0,1,0.0897,0.0513
P-CONCAT,Q2,F2,S0,4,0.0535,0.0406
P-CONCAT,Q5,F1,S0,1,0.2129,0.1046
P-CONCAT,Q5,F1,S0,4,0.1203,0.1268
P-CONCAT,Q5,F2,S0,1,0.2150,0.1043
P-CONCAT,Q5,F2,S0,4,0.1177,0.1013
P-JOIN,Q2,F1,S0,1,0.2874,0.1627
P-JOIN,Q2,F1,S0,4,0.1105,0.0729
P-JOIN,Q2,F2,S0,1,0.2666,0.1582
P-JOIN,Q2,F2,S0,4,0.1100,0.0720
P-JOIN,Q5,F1,S0,1,0.8446,0.3959
P-JOIN,Q5,F1,S0,4,0.2840,0.1719
P-JOIN,Q5,F2,S0,1,0.7030,0.3742
P-JOIN,Q5,F2,S0,4,0.2619,0.1950
