engine,query,filter,sel,threads,cold_s,warm_s
D-WIDE,Q3,F1,S0,1,0.034832,0.011507
D-WIDE,Q3,F2,S0,1,0.037740,0.015919
D-WIDE,Q5,F1,S0,1,0.045835,0.018680
D-WIDE,Q5,F2,S0,1,0.046695,0.019113
D-JOIN,Q3,F1,S0,1,0.115580,0.073653
D-JOIN,Q3,F2,S0,1,0.070024,0.035927
D-JOIN,Q5,F1,S0,1,0.133100,0.080382
D-JOIN,Q5,F2,S0,1,0.080156,0.048572
A-ALIGNED,Q3,F1,S0,1,0.051215,0.024972
A-ALIGNED,Q3,F2,S0,1,0.044680,0.027011
A-ALIGNED,Q5,F1,S0,1,0.053233,0.026662
A-ALIGNED,Q5,F2,S0,1,0.042256,0.021188
A-NORMAL,Q3,F1,S0,1,0.045069,0.020650
A-NORMAL,Q3,F2,S0,1,0.039524,0.021797
A-NORMAL,Q5,F1,S0,1,0.056157,0.025361
A-NORMAL,Q5,F2,S0,1,0.048400,0.023885
