engine,query,filter,sel,threads,cold_s,warm_s
D-WIDE,Q2,F1,S0,1,0.023705,0.005531
D-WIDE,Q2,F1,S0,4,0.025880,0.005999
D-WIDE,Q2,F2,S0,1,0.024514,0.006629
D-WIDE,Q2,F2,S0,4,0.025128,0.006508
D-WIDE,Q5,F1,S0,1,0.024106,0.006615
D-WIDE,Q5,F1,S0,4,0.025872,0.010407
D-WIDE,Q5,F2,S0,1,0.027460,0.007686
D-WIDE,Q5,F2,S0,4,0.034058,0.008230
D-JOIN,Q2,F1,S0,1,0.192958,0.131615
D-JOIN,Q2,F1,S0,4,0.100740,0.060804
D-JOIN,Q2,F2,S0,1,0.072616,0.045923
D-JOIN,Q2,F2,S0,4,0.058820,0.034470
D-JOIN,Q5,F1,S0,1,0.193669,0.129097
D-JOIN,Q5,F1,S0,4,0.102169,0.060087
D-JOIN,Q5,F2,S0,1,0.082423,0.051892
D-JOIN,Q5,F2,S0,4,0.062217,0.033588
A-ALIGNED,Q2,F1,S0,1,0.036333,0.015371
A-ALIGNED,Q2,F1,S0,4,0.031361,0.011353
A-ALIGNED,Q2,F2,S0,1,0.027514,0.009229
A-ALIGNED,Q2,F2,S0,4,0.027376,0.008594
A-ALIGNED,Q5,F1,S0,1,0.036454,0.017671
A-ALIGNED,Q5,F1,S0,4,0.030436,0.012351
A-ALIGNED,Q5,F2,S0,1,0.028549,0.010686
A-ALIGNED,Q5,F2,S0,4,0.028038,0.009580
A-NORMAL,Q2,F1,S0,1,0.038296,0.016034
A-NORMAL,Q2,F1,S0,4,0.032453,0.012282
A-NORMAL,Q2,F2,S0,1,0.030110,0.010341
A-NORMAL,Q2,F2,S0,4,0.027251,0.008681
A-NORMAL,Q5,F1,S0,1,0.041042,0.016149
A-NORMAL,Q5,F1,S0,4,0.030835,0.012202
A-NORMAL,Q5,F2,S0,1,0.027353,0.009866
A-NORMAL,Q5,F2,S0,4,0.030654,0.011184
P-CONCAT,Q2,F1,S0,1,0.3331,0.1888
P-CONCAT,Q2,F1,S0,4,0.1158,0.0693
P-CONCAT,Q2,F2,S0,1,0.3592,0.1926
P-CONCAT,Q2,F2,S0,4,0.1126,0.0692
P-CONCAT,Q5,F1,S0,1,1.0359,0.4518
P-CONCAT,Q5,F1,S0,4,0.2455,0.1401
P-CONCAT,Q5,F2,S0,1,0.8158,0.4123
P-CONCAT,Q5,F2,S0,4,0.2660,0.1664
P-JOIN,Q2,F1,S0,1,1.2839,0.9059
P-JOIN,Q2,F1,S0,4,0.4009,0.2668
P-JOIN,Q2,F2,S0,1,1.3200,0.9889
P-JOIN,Q2,F2,S0,4,0.4036,0.3131
P-JOIN,Q5,F1,S0,1,4.1635,2.5145
P-JOIN,Q5,F1,S0,4,0.9776,0.7049
P-JOIN,Q5,F2,S0,1,3.4094,2.6447
P-JOIN,Q5,F2,S0,4,0.9939,0.6225
