engine,query,filter,sel,threads,cold_s,warm_s
D-WIDE,Q2,F1,S0,1,0.021993,0.006002
D-WIDE,Q2,F1,S0,4,0.027777,0.005505
D-WIDE,Q2,F2,S0,1,0.024872,0.005962
D-WIDE,Q2,F2,S0,4,0.024615,0.006298
D-WIDE,Q5,F1,S0,1,0.022969,0.005766
D-WIDE,Q5,F1,S0,4,0.023463,0.007248
D-WIDE,Q5,F2,S0,1,0.032893,0.006913
D-WIDE,Q5,F2,S0,4,0.030779,0.010934
D-JOIN,Q2,F1,S0,1,0.062701,0.037559
D-JOIN,Q2,F1,S0,4,0.042483,0.021891
D-JOIN,Q2,F2,S0,1,0.052852,0.024340
D-JOIN,Q2,F2,S0,4,0.041867,0.019423
D-JOIN,Q5,F1,S0,1,0.062379,0.037134
D-JOIN,Q5,F1,S0,4,0.045810,0.023881
D-JOIN,Q5,F2,S0,1,0.045531,0.026151
D-JOIN,Q5,F2,S0,4,0.044548,0.023195
A-ALIGNED,Q2,F1,S0,1,0.027621,0.008817
A-ALIGNED,Q2,F1,S0,4,0.030307,0.008508
A-ALIGNED,Q2,F2,S0,1,0.025202,0.008004
A-ALIGNED,Q2,F2,S0,4,0.025755,0.007945
A-ALIGNED,Q5,F1,S0,1,0.037744,0.009769
A-ALIGNED,Q5,F1,S0,4,0.027337,0.009422
A-ALIGNED,Q5,F2,S0,1,0.029208,0.007535
A-ALIGNED,Q5,F2,S0,4,0.024230,0.008049
A-NORMAL,Q2,F1,S0,1,0.025621,0.009840
A-NORMAL,Q2,F1,S0,4,0.026379,0.008171
A-NORMAL,Q2,F2,S0,1,0.024151,0.007138
A-NORMAL,Q2,F2,S0,4,0.024221,0.007401
A-NORMAL,Q5,F1,S0,1,0.025498,0.009603
A-NORMAL,Q5,F1,S0,4,0.024757,0.008487
A-NORMAL,Q5,F2,S0,1,0.025906,0.007791
A-NORMAL,Q5,F2,S0,4,0.026292,0.008036
P-CONCAT,Q2,F1,S0,1,0.0860,0.0578
P-CONCAT,Q2,F1,S0,4,0.0532,0.0342
P-CONCAT,Q2,F2,S0,1,0.0894,0.0527
P-CONCAT,Q2,F2,S0,4,0.0609,0.0324
P-CONCAT,Q5,F1,S0,1,0.2279,0.1033
P-CONCAT,Q5,F1,S0,4,0.1330,0.1368
P-CONCAT,Q5,F2,S0,1,0.2194,0.1050
P-CONCAT,Q5,F2,S0,4,0.1398,0.0611
P-JOIN,Q2,F1,S0,1,0.2584,0.1715
P-JOIN,Q2,F1,S0,4,0.1130,0.0824
P-JOIN,Q2,F2,S0,1,0.2556,0.1972
P-JOIN,Q2,F2,S0,4,0.1115,0.0740
P-JOIN,Q5,F1,S0,1,0.8613,0.3924
P-JOIN,Q5,F1,S0,4,0.3155,0.1534
P-JOIN,Q5,F2,S0,1,0.6824,0.3886
P-JOIN,Q5,F2,S0,4,0.2841,0.2259
