table,workload,threads,v3_s,v2_s,ratio
bench_all,p5,1,0.167,0.163,1.02 |
bench_all,p5,4,0.119,0.119,1.00 |
bench_all,p5,8,0.106,0.102,1.04 |
bench_all,p25,1,0.512,0.508,1.01 |
bench_all,p25,4,0.274,0.271,1.01 |
bench_all,p25,8,0.208,0.205,1.02 |
bench_all,p100,1,1.980,1.986,1.00 |
bench_all,p100,4,0.961,0.951,1.01 |
bench_all,p100,8,1.024,0.952,1.08 |
bench_all,s25,1,0.157,0.155,1.01 |
bench_all,s25,4,0.109,0.106,1.03 |
bench_all,s25,8,0.102,0.100,1.02 |
bench_all,s100,1,0.511,0.511,1.00 |
bench_all,s100,4,0.276,0.271,1.02 |
bench_all,s100,8,0.207,0.203,1.02 |
bench_group,p5,1,0.169,0.163,1.03 |
bench_group,p5,4,0.124,0.119,1.05 |
bench_group,p5,8,0.107,0.102,1.05 |
bench_group,p25,1,0.493,0.508,0.97 |
bench_group,p25,4,0.281,0.271,1.04 |
bench_group,p25,8,0.207,0.205,1.01 |
bench_group,p100,1,1.921,1.986,0.97 |
bench_group,p100,4,0.972,0.951,1.02 |
bench_group,p100,8,1.040,0.952,1.09 |
bench_group,s25,1,0.173,0.155,1.11 |
bench_group,s25,4,0.134,0.106,1.27 |
bench_group,s25,8,0.125,0.100,1.25 |
bench_group,s100,1,0.496,0.511,0.97 |
bench_group,s100,4,0.281,0.271,1.04 |
bench_group,s100,8,0.207,0.203,1.02 |
bench_none,p5,1,0.171,0.163,1.05 |
bench_none,p5,4,0.125,0.119,1.05 |
bench_none,p5,8,0.110,0.102,1.08 |
bench_none,p25,1,0.514,0.508,1.01 |
bench_none,p25,4,0.278,0.271,1.02 |
bench_none,p25,8,0.211,0.205,1.03 |
bench_none,p100,1,1.994,1.986,1.00 |
bench_none,p100,4,0.944,0.951,0.99 |
bench_none,p100,8,0.987,0.952,1.04 |
bench_none,s25,1,0.163,0.155,1.05 |
bench_none,s25,4,0.114,0.106,1.07 |
bench_none,s25,8,0.106,0.100,1.06 |
bench_none,s100,1,0.516,0.511,1.01 |
bench_none,s100,4,0.283,0.271,1.04 |
bench_none,s100,8,0.209,0.203,1.03 |
