engine,query,filter,sel,threads,cold_s,warm_s
D-WIDE,Q2,F1,S0,1,0.022140,0.021488
D-WIDE,Q2,F1,S0,4,0.022225,0.021969
D-WIDE,Q2,F2,S0,1,0.023459,0.022399
D-WIDE,Q2,F2,S0,4,0.024259,0.024369
D-WIDE,Q5,F1,S0,1,0.023142,0.021971
D-WIDE,Q5,F1,S0,4,0.023089,0.022570
D-WIDE,Q5,F2,S0,1,0.023278,0.022824
D-WIDE,Q5,F2,S0,4,0.024038,0.024024
D-JOIN,Q2,F1,S0,1,0.030966,0.029517
D-JOIN,Q2,F1,S0,4,0.030448,0.029714
D-JOIN,Q2,F2,S0,1,0.028602,0.028481
D-JOIN,Q2,F2,S0,4,0.031257,0.043906
D-JOIN,Q5,F1,S0,1,0.042351,0.032107
D-JOIN,Q5,F1,S0,4,0.031636,0.032717
D-JOIN,Q5,F2,S0,1,0.030640,0.031430
D-JOIN,Q5,F2,S0,4,0.034870,0.035916
A-ALIGNED,Q2,F1,S0,1,0.026830,0.026365
A-ALIGNED,Q2,F1,S0,4,0.026727,0.026533
A-ALIGNED,Q2,F2,S0,1,0.024979,0.024869
A-ALIGNED,Q2,F2,S0,4,0.027060,0.033778
A-ALIGNED,Q5,F1,S0,1,0.027207,0.027366
A-ALIGNED,Q5,F1,S0,4,0.032185,0.027786
A-ALIGNED,Q5,F2,S0,1,0.027368,0.025534
A-ALIGNED,Q5,F2,S0,4,0.027741,0.026872
A-NORMAL,Q2,F1,S0,1,0.025638,0.033325
A-NORMAL,Q2,F1,S0,4,0.029276,0.027387
A-NORMAL,Q2,F2,S0,1,0.025248,0.032297
A-NORMAL,Q2,F2,S0,4,0.026357,0.025363
A-NORMAL,Q5,F1,S0,1,0.026098,0.026117
A-NORMAL,Q5,F1,S0,4,0.027162,0.026865
A-NORMAL,Q5,F2,S0,1,0.025948,0.025577
A-NORMAL,Q5,F2,S0,4,0.027159,0.027194
P-CONCAT,Q2,F1,S0,1,0.0240,0.0132
P-CONCAT,Q2,F1,S0,4,0.0261,0.0182
P-CONCAT,Q2,F2,S0,1,0.0229,0.0132
P-CONCAT,Q2,F2,S0,4,0.0278,0.0155
P-CONCAT,Q5,F1,S0,1,0.0457,0.0253
P-CONCAT,Q5,F1,S0,4,0.0487,0.0419
P-CONCAT,Q5,F2,S0,1,0.0460,0.0239
P-CONCAT,Q5,F2,S0,4,0.0516,0.0390
P-JOIN,Q2,F1,S0,1,0.0422,0.0286
P-JOIN,Q2,F1,S0,4,0.0366,0.0225
P-JOIN,Q2,F2,S0,1,0.0446,0.0237
P-JOIN,Q2,F2,S0,4,0.0373,0.0241
P-JOIN,Q5,F1,S0,1,0.1269,0.0504
P-JOIN,Q5,F1,S0,4,0.0720,0.0622
P-JOIN,Q5,F2,S0,1,0.1129,0.0501
P-JOIN,Q5,F2,S0,4,0.0698,0.0436
