engine,workload,threads,cold_s,warm_s
aligned,p5,1,0.1765,0.1765
aligned,p5,4,0.1261,0.1261
aligned,p5,8,0.1118,0.1118
aligned,p25,1,0.5346,0.5346
aligned,p25,4,0.2857,0.2857
aligned,p25,8,0.2187,0.2187
aligned,p100,1,2.0552,2.0552
aligned,p100,4,1.0358,1.0358
aligned,p100,8,1.1318,1.1318
aligned,s25,1,0.1590,0.1590
aligned,s25,4,0.1269,0.1269
aligned,s25,8,0.1044,0.1044
aligned,s100,1,0.5296,0.5296
aligned,s100,4,0.2881,0.2881
aligned,s100,8,0.2182,0.2182
wide,p5,1,0.1103,0.1103
wide,p5,4,0.0750,0.0750
wide,p5,8,0.0745,0.0745
wide,p25,1,0.2934,0.2934
wide,p25,4,0.1327,0.1327
wide,p25,8,0.1188,0.1188
wide,p100,1,1.0705,1.0705
wide,p100,4,0.3866,0.3866
wide,p100,8,0.3655,0.3655
wide,s25,1,0.1354,0.1354
wide,s25,4,0.0975,0.0975
wide,s25,8,0.0962,0.0962
wide,s100,1,0.2925,0.2925
wide,s100,4,0.1326,0.1326
wide,s100,8,0.1174,0.1174
join,p5,1,0.1911,0.1911
join,p5,4,0.1181,0.1181
join,p5,8,0.1066,0.1066
join,p25,1,0.3847,0.3847
join,p25,4,0.1815,0.1815
join,p25,8,0.1507,0.1507
join,p100,1,1.7941,1.7941
join,p100,4,0.9313,0.9313
join,p100,8,0.8693,0.8693
join,s25,1,0.1768,0.1768
join,s25,4,0.1174,0.1174
join,s25,8,0.1225,0.1225
join,s100,1,0.3867,0.3867
join,s100,4,0.1765,0.1765
join,s100,8,0.1534,0.1534
polars,p5,1,0.0459,0.0427
polars,p5,4,0.0211,0.0168
polars,p5,8,0.0190,0.0154
polars,p25,1,0.1868,0.1240
polars,p25,4,0.0612,0.0413
polars,p25,8,0.0431,0.0334
polars,p100,1,0.7921,0.5238
polars,p100,4,0.2600,0.1795
polars,p100,8,0.1703,0.1459
polars,s25,1,0.1895,0.1268
polars,s25,4,0.0666,0.0436
polars,s25,8,0.0495,0.0336
polars,s100,1,0.1853,0.1255
polars,s100,4,0.0709,0.0455
polars,s100,8,0.0467,0.0361
